Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.77.95-38.106.231.204-59766-443-6,192.168.77.95,59766,38.106.231.204,443,6,27-04-2022 08:13,2240998,9,9,2586,4052,1370,0,287.3333333,471.28415,2740,0,450.2222222,887.0842375,2962.073148,8.032135682,131823.4118,190146.7521,514446,0,1891236,236404.5,224478.242,514585,0,2236379,279547.375,227563.0049,522970,0,0,0,0,0,180,204,4.016067841,4.016067841,0,2740,349.3684211,679.8878347,462247.4678,0,1,0,0,0,0,0,0,1,368.7777778,287.3333333,450.2222222,0,0,0,0,0,0,9,2586,9,4052,-1,39,5,0,0,0,0,0,0,0,0,0,No Label
192.168.77.95-38.106.231.204-59767-443-6,192.168.77.95,59767,38.106.231.204,443,6,27-04-2022 08:13,1642785,8,7,3787,497,1370,0,473.375,579.9039175,334,0,71,123.1976731,2607.766689,9.130835745,117341.7857,196319.1153,613988,0,1332090,190298.5714,240440.1472,615875,0,1641890,273648.3333,238160.6307,614604,0,0,0,0,0,160,164,4.869779064,4.261056681,0,1370,267.75,456.5087075,208400.2,0,1,0,0,0,0,0,0,0,285.6,473.375,71,0,0,0,0,0,0,8,3787,7,497,-1,44,5,0,0,0,0,0,0,0,0,0,No Label
192.168.77.95-38.106.231.204-59770-443-6,192.168.77.95,59770,38.106.231.204,443,6,27-04-2022 08:13,1318379,8,8,4947,497,1370,0,618.375,635.089406,334,0,62.125,116.7884993,4129.313346,12.13611564,87891.93333,149767.327,409613,0,1039894,148556.2857,188545.4459,415973,0,1302392,186056,178810.9982,410188,0,0,0,0,0,160,184,6.068057819,6.068057819,0,1370,320.2352941,516.3249376,266591.4412,0,1,0,0,0,0,0,0,1,340.25,618.375,62.125,0,0,0,0,0,0,8,4947,8,497,-1,49,6,0,0,0,0,0,0,0,0,0,No Label
192.168.77.95-20.212.97.243-59771-443-6,192.168.77.95,59771,20.212.97.243,443,6,27-04-2022 08:13,503167,7,9,2503,8579,1370,0,357.5714286,474.1869734,5480,0,953.2222222,1792.119261,22024.49684,31.79858775,33544.46667,56219.32947,134130,0,270752,45125.33333,68211.26977,135404,0,503167,62895.875,66588.23479,138033,0,0,0,0,0,140,204,13.91188214,17.88670561,0,5480,651.8823529,1343.763041,1805699.11,0,1,0,0,0,0,0,0,1,692.625,357.5714286,953.2222222,0,0,0,0,0,0,7,2503,9,8579,-1,2049,5,0,0,0,0,0,0,0,0,0,No Label
192.168.77.95-20.212.97.243-59771-443-6,192.168.77.95,59771,20.212.97.243,443,6,27-04-2022 08:13,147,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,210884.3537,20408.16327,73.5,24.74873734,91,56,56,56,0,56,56,0,0,0,0,0,0,0,0,0,40,20,13605.44218,6802.721088,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,256,1,0,0,0,0,0,0,0,0,0,No Label
192.168.77.95-49.44.144.190-59762-443-6,192.168.77.95,59762,49.44.144.190,443,6,27-04-2022 08:12,100337130,8,11,841,4751,278,0,105.125,120.9952036,2740,0,431.9090909,830.7688553,55.73211034,0.189361605,5574285,2.35E+07,9.98E+07,0,1.00E+08,1.43E+07,3.77E+07,9.98E+07,701,319571,31957.1,33738.20619,74253,0,0,0,0,0,160,244,0.079731202,0.109630403,0,2740,279.6,631.6700838,399007.0947,0,1,0,0,0,0,0,0,1,294.3157895,105.125,431.9090909,0,0,0,0,0,0,8,841,11,4751,-1,501,4,0,0,0,0,0,0,0,0,0,No Label
192.168.77.95-49.44.144.190-59762-443-6,49.44.144.190,443,192.168.77.95,59762,6,27-04-2022 08:14,0,1,1,0,31,0,0,0,0,31,31,31,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0,0,0,31,20.66666667,17.89785834,320.3333333,0,0,0,1,1,0,0,0,1,31,0,31,0,0,0,0,0,0,1,0,1,31,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.77.95-99.86.20.26-59763-443-6,192.168.77.95,59763,99.86.20.26,443,6,27-04-2022 08:12,100298795,7,9,564,4921,282,0,80.57142857,114.3472156,2740,0,546.7777778,936.0005045,54.68659918,0.159523352,6686586.333,2.58E+07,1.00E+08,0,1.00E+08,1.67E+07,4.08E+07,1.00E+08,430,248475,31059.375,31738.65176,69530,0,0,0,0,0,140,204,0.069791467,0.089731886,0,2740,322.6470588,709.4735673,503352.7426,0,1,0,0,0,0,0,0,1,342.8125,80.57142857,546.7777778,0,0,0,0,0,0,7,564,9,4921,-1,133,3,0,0,0,0,0,0,0,0,0,No Label
192.168.77.95-99.86.20.26-59764-443-6,192.168.77.95,59764,99.86.20.26,443,6,27-04-2022 08:12,100273112,7,9,562,4921,280,0,80.28571429,113.7610277,2740,0,546.7777778,936.0005045,54.68066055,0.159564211,6684874.133,2.58E+07,1.00E+08,99,1.00E+08,1.67E+07,4.08E+07,1.00E+08,337,222347,27793.375,28604.80264,60580,224,0,0,0,0,140,204,0.069809342,0.089754869,0,2740,322.5294118,709.4808945,503363.1397,0,1,0,0,0,0,0,0,1,342.6875,80.28571429,546.7777778,0,0,0,0,0,0,7,562,9,4921,-1,133,3,0,0,0,0,0,0,0,0,0,No Label
134.221.96.0-0.0.0.24-0-0-0,134.221.96.0,0,0.0.0.24,0,0,27-04-2022 08:13,95496180,4,1,0,0,0,0,0,0,0,0,0,0,0,0.052358115,2.39E+07,2.04E+07,4.55E+07,5509093,9.00E+07,3.00E+07,1.99E+07,4.55E+07,7501229,0,0,0,0,0,0,0,0,0,0,0,0.041886492,0.010471623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,0,0,0,0,2.39E+07,2.04E+07,4.55E+07,5509093,No Label
