2022-04-27 07:23:17 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2022-04-27 07:41:56 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    Pcap stop listening
2022-04-27 07:41:56 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    path:C:\Users\Lenovo\Documents\model\CICFlowMeter-4.0\bin\data\daily\2022-04-27_Flow.csv
2022-04-27 08:12:46 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2022-04-27 08:13:04 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 16 flow
2022-04-27 08:13:05 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 21 flow
2022-04-27 08:13:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 22 flow
2022-04-27 08:13:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 57 flow
2022-04-27 08:13:11 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 57 flow
2022-04-27 08:14:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 523 flow
2022-04-27 08:14:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 524 flow
2022-04-27 08:14:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 526 flow
2022-04-27 08:14:37 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 525 flow
2022-04-27 08:15:22 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 650 flow
2022-04-27 08:15:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 793 flow
2022-04-27 08:15:51 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 793 flow
2022-04-27 08:16:36 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    Timeout current has 900 flow
2022-04-27 08:17:32 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1046 flow
2022-04-27 08:17:32 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1045 flow
2022-04-27 08:17:32 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1044 flow
2022-04-27 08:17:32 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1043 flow
2022-04-27 08:17:32 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1042 flow
2022-04-27 08:17:32 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1042 flow
2022-04-27 08:17:32 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1047 flow
2022-04-27 08:17:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1055 flow
2022-04-27 08:17:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1055 flow
2022-04-27 08:17:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1133 flow
2022-04-27 08:17:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1132 flow
2022-04-27 08:17:42 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 1131 flow
