Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.94.253-192.168.94.5-3000-41060-6,192.168.94.5,41060,192.168.94.253,3000,6,11/05/2022 03:13:03 PM,14024891,12,14,4218.0,640.0,567.0,0.0,351.50000000000006,260.74700381787704,243.0,0.0,45.71428571428571,92.90560020499598,346.3841537164175,1.8538468498614356,560995.64,1376504.3914245206,4938492.0,7.0,9075873.0,825079.3636363638,1465195.0294696111,4050141.0,67.0,1.4024891E7,1078837.7692307695,1804906.6137511637,5005646.0,61.0,0,0,0,0,384,524,0.8556216230129703,0.9982252268484654,0.0,567.0,179.92592592592592,240.02338442582018,57611.22507122505,0,1,0,0,0,0,0,0,1.0,186.84615384615384,351.5,45.714285714285715,0,0,0,0,0,0,12,4218,14,640,-1,501,8,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.5-3000-41056-6,192.168.94.5,41056,192.168.94.253,3000,6,11/05/2022 03:13:03 PM,14039920,12,14,4236.0,729.0,530.0,0.0,353.0,260.70812659510113,243.0,0.0,52.07142857142858,103.47312121119577,353.6344936438384,1.8518624037743805,561596.8,1540181.1136437007,4940014.0,6.0,9086318.0,826028.9090909091,1814086.8402655618,4902736.0,18.0,1.403992E7,1079993.846153846,2051854.021106474,4999903.0,62.0,0,0,0,0,384,524,0.8547057248189448,0.9971566789554356,0.0,530.0,183.88888888888889,240.76022756985256,57965.487179487194,0,1,0,0,0,0,0,0,1.0,190.96153846153845,353.0,52.07142857142857,0,0,0,0,0,0,12,4236,14,729,-1,501,8,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.5-3000-41058-6,192.168.94.5,41058,192.168.94.253,3000,6,11/05/2022 03:13:03 PM,14041782,12,14,4236.0,729.0,530.0,0.0,353.0,260.70812659510113,243.0,0.0,52.07142857142858,103.47312121119577,353.5876002062986,1.8516168389453704,561671.28,1541372.5061364823,4945929.0,10.0,9087019.0,826092.6363636364,1814955.7729871147,4906262.0,93.0,1.4041782E7,1080137.076923077,2051730.8209554625,5001370.0,14.0,0,0,0,0,384,524,0.8545923872055555,0.9970244517398148,0.0,530.0,183.88888888888886,240.76022756985253,57965.48717948718,0,1,0,0,0,0,0,0,1.0,190.96153846153845,353.0,52.07142857142857,0,0,0,0,0,0,12,4236,14,729,-1,501,8,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.5-3000-41054-6,192.168.94.5,41054,192.168.94.253,3000,6,11/05/2022 03:13:03 PM,14162605,18,20,5877.0,1280.0,567.0,0.0,326.5,269.37230959486277,243.0,0.0,64.00000000000001,102.85708020048217,505.3448853512472,2.683122208096604,382773.10810810816,1216516.4957025126,4949244.0,9.0,9198900.0,541111.7647058823,1351611.1716977137,4924687.0,38.0,1.4162605E7,745400.2631578948,1649693.1700973918,5001155.0,36.0,0,0,0,0,576,716,1.2709526248878649,1.4121695832087389,0.0,567.0,183.5128205128205,236.30465079892903,55839.88798920379,0,1,0,0,0,0,0,0,1.0,188.3421052631579,326.5,64.0,0,0,0,0,0,0,18,5877,20,1280,-1,501,11,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.5-3000-41060-6,192.168.94.5,41060,192.168.94.253,3000,6,11/05/2022 03:13:17 PM,7897569,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2532424851242199,7897569.0,0.0,7897569.0,7897569.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.12662124256210994,0.12662124256210994,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,86,0,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.5-3000-41056-6,192.168.94.5,41056,192.168.94.253,3000,6,11/05/2022 03:13:17 PM,7897680,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25323892586177205,7897680.0,0.0,7897680.0,7897680.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.12661946293088602,0.12661946293088602,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,86,0,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.5-3000-41058-6,192.168.94.5,41058,192.168.94.253,3000,6,11/05/2022 03:13:17 PM,7897744,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25323687371988757,7897744.0,0.0,7897744.0,7897744.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.12661843685994378,0.12661843685994378,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,86,0,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.5-3000-41054-6,192.168.94.5,41054,192.168.94.253,3000,6,11/05/2022 03:13:17 PM,7915597,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2526657180753391,7915597.0,0.0,7915597.0,7915597.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.12633285903766955,0.12633285903766955,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,86,0,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.5-3000-41056-6,192.168.94.253,3000,192.168.94.5,41056,6,11/05/2022 03:13:25 PM,424,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4716.981132075472,424.0,0.0,424.0,424.0,0,0,0,0,0,424.0,424.0,0.0,424.0,424.0,0,0,0,0,0,64,0.0,4716.981132075472,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,86,0,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.5-3000-41058-6,192.168.94.253,3000,192.168.94.5,41058,6,11/05/2022 03:13:25 PM,447,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4474.272930648769,447.0,0.0,447.0,447.0,0,0,0,0,0,447.0,447.0,0.0,447.0,447.0,0,0,0,0,0,64,0.0,4474.272930648769,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,86,0,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.5-3000-41060-6,192.168.94.253,3000,192.168.94.5,41060,6,11/05/2022 03:13:25 PM,564,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3546.0992907801415,564.0,0.0,564.0,564.0,0,0,0,0,0,564.0,564.0,0.0,564.0,564.0,0,0,0,0,0,64,0.0,3546.0992907801415,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,86,0,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.5-3000-41054-6,192.168.94.253,3000,192.168.94.5,41054,6,11/05/2022 03:13:25 PM,503,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3976.1431411530816,503.0,0.0,503.0,503.0,0,0,0,0,0,503.0,503.0,0.0,503.0,503.0,0,0,0,0,0,64,0.0,3976.1431411530816,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,86,0,0,0,0,0,0,0,0,0,0,No Label
192.168.94.253-192.168.94.5-3000-41066-6,192.168.94.5,41066,192.168.94.253,3000,6,11/05/2022 03:13:25 PM,6052327,8,9,1053.0,638.0,567.0,0.0,131.625,244.6816809652901,241.0,0.0,70.88888888888889,109.1277284245902,279.3966684219144,2.8088369977365732,378270.4375,1189758.8606635642,4744106.0,15.0,1307694.0,186813.42857142858,361961.25811466674,979570.0,78.0,6052327.0,756540.875,1655614.6812119952,4768027.0,36.0,0,0,0,0,276,312,1.3218056459936813,1.4870313517428917,0.0,567.0,93.94444444444444,178.1147918758218,31724.879084967317,0,1,0,0,0,0,0,0,1.0,99.47058823529412,131.625,70.88888888888889,0,0,0,0,0,0,8,1053,9,638,-1,502,2,0,0,0,0,0,0,0,0,0,No Label
